neighbourhood_cleansed,averagePrice
el Poblenou,87.63786008
el Besòs i el Maresme,58.98584906
la Vila de Gràcia,109.8095238
la Guineueta,57
la Teixonera,47.59459459
la Dreta de l'Eixample,157.3862852
el Barri Gòtic,84.39941263
el Guinardó,72.54589372
Canyelles,43.5
Provençals del Poblenou,68.96747967
la Verneda i la Pau,42.82352941
Vilapicina i la Torre Llobeta,53.94
l'Antiga Esquerra de l'Eixample,107.5867393
Navas,45.96
la Marina de Port,63.93548387
Sarrià,86.97297297
la Marina del Prat Vermell,98
Torre Baró,39.5
Sant Antoni,92.06593407
Sant Gervasi - Galvany,110.4210526
les Roquetes,41.09677419
el Congrés i els Indians,40.15714286
"Sant Pere, Santa Caterina i la Ribera",84.22355769
la Vall d'Hebron,45.81818182
el Bon Pastor,46.08
Sants - Badal,60.21390374
la Nova Esquerra de l'Eixample,79.63403782
Can Baró,72.3255814
les Corts,89.39583333
la Sagrera,43.40243902
Verdun,32.96551724
el Clot,63.66459627
el Camp d'en Grassot i Gràcia Nova,80.70977011
la Font de la Guatlla,64.048
el Baix Guinardó,65.91390728
el Poble Sec,82.49063336
Sant Gervasi - la Bonanova,66.57142857
Porta,48.5
Horta,41.68292683
el Camp de l'Arpa del Clot,71.57386364
Diagonal Mar i el Front Marítim del Poblenou,174.1398964
la Maternitat i Sant Ramon,58.01785714
el Parc i la Llacuna del Poblenou,76.11481481
el Carmel,98.4
la Prosperitat,37.42105263
el Fort Pienc,107.992381
el Putxet i el Farró,105.4778761
Sant Andreu,52.04225352
les Tres Torres,106.8333333
la Bordeta,59.47183099
el Coll,54
el Turó de la Peira,49.25806452
la Font d'en Fargues,44.47619048
Hostafrancs,94.93220339
Montbau,29.1
Pedralbes,97.23076923
Sant Martí de Provençals,45.49473684
Vallcarca i els Penitents,80.09917355
el Raval,74.72722096
Sants,76.97323601
"Vallvidrera, el Tibidabo i les Planes",125.9677419
Ciutat Meridiana,34.14285714
la Barceloneta,73.07877462
la Salut,67.34545455
Sant Genís dels Agudells,72.375
la Vila Olímpica del Poblenou,170.342246
la Sagrada Família,97.26757991
la Trinitat Nova,28.7
la Trinitat Vella,45.3125
Baró de Viver,21.5
Can Peguera,25
